Crop,Date,Variety,State,District,Min Price (Rs-Quintal),Max Price (Rs-Quintal),Modal Price
Banana,14-10-2024,Chakkarakeli(Red),Andhra Pradesh,East Godavari,2500,3400,2900
Banana,14-10-2024,Karpura,Andhra Pradesh,East Godavari,1600,2600,2400
Banana,14-10-2024,Chakkarakeli(White),Andhra Pradesh,East Godavari,2200,2900,2600
Banana,14-10-2024,Amruthapani,Andhra Pradesh,East Godavari,1900,2500,2300
Banana,14-10-2024,Bhushavali(Pacha),Andhra Pradesh,East Godavari,1400,2100,1900
Banana,14-10-2024,Desi(Bontha),Andhra Pradesh,East Godavari,1400,1800,1600
Banana,10-10-2024,Bhushavali(Pacha),Andhra Pradesh,East Godavari,1400,2100,1900
Banana,10-10-2024,Karpura,Andhra Pradesh,East Godavari,2100,3200,2800
Banana,10-10-2024,Chakkarakeli(White),Andhra Pradesh,East Godavari,2200,3200,2800
Banana,10-10-2024,Desi(Bontha),Andhra Pradesh,East Godavari,1400,1800,1600
Banana,10-10-2024,Amruthapani,Andhra Pradesh,East Godavari,1900,2500,2300
Banana,10-10-2024,Chakkarakeli(Red),Andhra Pradesh,East Godavari,2500,3400,2900
Banana,07-10-2024,Amruthapani,Andhra Pradesh,East Godavari,1900,2500,2300
Banana,06-10-2024,Desi(Bontha),Andhra Pradesh,East Godavari,1400,1800,1600
Banana,06-10-2024,Bhushavali(Pacha),Andhra Pradesh,East Godavari,1400,2100,1800
Banana,06-10-2024,Chakkarakeli(White),Andhra Pradesh,East Godavari,2100,3200,2600
Banana,06-10-2024,Karpura,Andhra Pradesh,East Godavari,2100,2900,2700
Banana,06-10-2024,Amruthapani,Andhra Pradesh,East Godavari,1900,2400,2200
Banana,06-10-2024,Chakkarakeli(Red),Andhra Pradesh,East Godavari,2400,3400,2700
Banana,03-10-2024,Chakkarakeli(Red),Andhra Pradesh,East Godavari,2500,3200,2900
Banana,03-10-2024,Desi(Bontha),Andhra Pradesh,East Godavari,1400,1800,1600
Banana,03-10-2024,Bhushavali(Pacha),Andhra Pradesh,East Godavari,1400,2100,1800
Banana,03-10-2024,Chakkarakeli(White),Andhra Pradesh,East Godavari,2200,3400,2800
Banana,03-10-2024,Amruthapani,Andhra Pradesh,East Godavari,1900,2400,2200
Banana,03-10-2024,Karpura,Andhra Pradesh,East Godavari,2100,3200,2800
Banana,01-10-2024,Chakkarakeli(White),Andhra Pradesh,East Godavari,2200,3200,2800
Banana,01-10-2024,Bhushavali(Pacha),Andhra Pradesh,East Godavari,1400,2100,1800
Banana,01-10-2024,Desi(Bontha),Andhra Pradesh,East Godavari,1400,1800,1600
Banana,01-10-2024,Karpura,Andhra Pradesh,East Godavari,1900,3200,2800
Banana,01-10-2024,Chakkarakeli(Red),Andhra Pradesh,East Godavari,2500,3200,2900
Banana,01-10-2024,Amruthapani,Andhra Pradesh,East Godavari,1900,2400,2200
Banana,26-09-2024,Chakkarakeli(Red),Andhra Pradesh,East Godavari,2400,3200,2800
Banana,26-09-2024,Amruthapani,Andhra Pradesh,East Godavari,1900,2400,2200
Banana,26-09-2024,Bhushavali(Pacha),Andhra Pradesh,East Godavari,1400,1900,1700
Banana,26-09-2024,Desi(Bontha),Andhra Pradesh,East Godavari,1400,1800,1600
Banana,26-09-2024,Karpura,Andhra Pradesh,East Godavari,1600,2500,2300
Banana,26-09-2024,Chakkarakeli(White),Andhra Pradesh,East Godavari,1900,2800,2600
Banana,25-09-2024,Desi(Bontha),Andhra Pradesh,East Godavari,1400,1800,1600
Banana,25-09-2024,Bhushavali(Pacha),Andhra Pradesh,East Godavari,1400,1900,1700
Banana,25-09-2024,Amruthapani,Andhra Pradesh,East Godavari,1900,2400,2200
Banana,25-09-2024,Chakkarakeli(Red),Andhra Pradesh,East Godavari,2400,3200,2800
Banana,25-09-2024,Chakkarakeli(White),Andhra Pradesh,East Godavari,1900,2800,2600
Banana,25-09-2024,Karpura,Andhra Pradesh,East Godavari,1600,2500,2300
Banana,24-09-2024,Amruthapani,Andhra Pradesh,East Godavari,1900,2400,2200
Banana,24-09-2024,Chakkarakeli(Red),Andhra Pradesh,East Godavari,2400,2900,2700
Banana,24-09-2024,Chakkarakeli(White),Andhra Pradesh,East Godavari,1800,2600,2400
Banana,24-09-2024,Bhushavali(Pacha),Andhra Pradesh,East Godavari,1400,1900,1700
Banana,24-09-2024,Desi(Bontha),Andhra Pradesh,East Godavari,1300,1800,1600
Banana,24-09-2024,Karpura,Andhra Pradesh,East Godavari,1600,2400,2200
Banana,23-09-2024,Karpura,Andhra Pradesh,East Godavari,1800,2600,2400
Banana,23-09-2024,Chakkarakeli(Red),Andhra Pradesh,East Godavari,2400,3200,2800
Banana,23-09-2024,Desi(Bontha),Andhra Pradesh,East Godavari,1500,1900,1700
Banana,23-09-2024,Chakkarakeli(White),Andhra Pradesh,East Godavari,1900,2800,2600
Banana,23-09-2024,Bhushavali(Pacha),Andhra Pradesh,East Godavari,1600,2200,1800
